   3.00  525.15  521.95  521.41  519.54  519.05  516.23  515.27  514.60  513.91  513.75  513.64  512.40  511.97  511.52  511.15  511.10  511.05  510.55  510.38  509.83  508.87  508.72
   1.00  538.51  533.25  531.91  528.55  528.19  523.27  521.12  519.84  518.81  518.26  518.31  516.03  515.08  514.13  514.00  513.61  513.36  512.44  512.15  511.02  509.53  509.41
   2.00  541.14  536.15  535.08  532.11  531.41  526.75  524.95  523.60  522.61  522.17  522.11  520.21  519.26  518.56  518.09  518.00  517.79  517.07  516.43  515.55  514.03  513.83
   3.00  556.79  550.83  549.53  545.59  544.84  539.00  536.63  535.23  533.80  533.44  533.20  530.37  529.32  528.27  527.65  527.41  527.27  526.22  525.73  524.45  522.38  522.12
   3.00  561.58  554.43  553.00  548.37  547.52  540.70  538.04  536.39  534.75  534.28  534.02  531.02  529.76  528.61  527.92  527.61  527.45  526.27  525.77  524.33  522.01  521.62
   2.00  578.20  572.12  570.78  567.04  566.27  560.59  558.53  557.19  555.88  555.41  555.13  553.07  551.90  550.90  550.43  550.12  550.03  549.11  548.50  547.34  545.60  545.11
   1.00  581.94  576.41  575.15  571.72  570.77  565.81  564.03  562.92  561.63  561.23  561.00  558.52  557.73  556.65  555.93  555.95  555.94  554.96  554.31  553.45  551.43  551.18
   1.00  593.18  590.70  590.32  588.79  588.47  586.18  585.37  584.80  584.29  584.23  584.05  583.13  582.71  582.52  582.20  582.04  582.08  581.77  581.39  581.00  580.28  580.10
   3.00  600.26  595.13  594.18  590.83  590.09  585.20  583.41  582.27  581.00  580.67  580.30  578.30  577.33  576.34  575.96  575.58  575.55  574.65  574.18  573.13  571.41  570.99
   3.00  610.90  603.86  602.40  597.78  597.01  590.18  587.46  585.75  584.16  583.60  583.40  580.34  579.00  577.80  577.16  576.79  576.61  575.40  574.86  573.35  571.04  570.62
   3.00  625.14  619.95  618.99  615.96  615.05  610.17  608.54  607.37  606.14  605.91  605.67  603.44  602.64  601.97  601.20  601.13  601.20  600.25  599.81  598.78  597.20  596.71
   2.00  646.51  643.43  642.86  640.95  640.58  637.66  636.61  635.91  635.28  635.01  634.95  633.76  633.23  632.79  632.52  632.29  632.30  631.82  631.56  630.95  630.04  629.73
   3.00  668.58  660.84  659.49  654.74  653.54  646.32  643.73  642.16  640.36  639.77  639.27  636.24  634.96  633.73  632.97  632.35  632.50  631.17  630.51  628.91  626.55  625.69
   3.00  668.91  664.39  663.61  661.07  660.42  656.39  655.00  654.06  653.15  652.76  652.63  650.99  650.26  649.79  649.35  648.91  649.09  648.38  647.91  647.03  645.98  645.38
   3.00  677.21  671.54  670.35  666.66  665.96  660.59  658.56  657.18  655.92  655.66  655.43  652.97  651.99  651.03  650.52  650.26  650.20  649.33  648.70  647.63  645.88  645.63
   2.00  678.73  674.19  673.26  670.45  669.97  665.45  663.80  662.65  661.60  661.49  661.37  659.17  658.44  657.80  657.32  657.15  656.97  656.33  655.85  655.04  653.54  653.36
   3.00  693.84  688.39  687.34  683.87  683.14  677.92  676.02  674.79  673.55  673.26  672.99  670.72  669.75  668.89  668.31  668.11  668.07  667.17  666.69  665.68  663.83  663.52
   1.00  744.68  736.58  735.31  731.49  728.83  722.89  720.55  719.59  717.82  716.69  716.82  714.48  713.28  712.24  711.59  711.29  711.27  709.74  709.62  708.08  706.09  704.85
   3.00  885.83  876.30  874.28  868.17  866.78  857.58  853.93  851.68  849.20  848.72  848.32  844.13  842.34  840.66  839.64  839.33  838.96  837.30  836.41  834.43  830.99  830.44
   2.00  892.33  885.14  883.86  879.26  878.18  871.22  868.62  866.86  865.14  864.77  864.46  861.35  860.03  858.80  858.03  857.79  857.49  856.33  855.65  854.21  851.75  851.33
   3.00  903.11  893.38  891.32  885.14  883.70  874.30  870.55  868.22  865.67  865.21  864.87  860.51  858.70  857.02  855.97  855.66  855.24  853.55  852.66  850.67  847.20  846.61
   3.00  902.98  893.84  891.95  886.21  884.81  876.14  872.74  870.62  868.24  867.84  867.49  863.43  861.84  860.26  859.28  859.05  858.66  857.10  856.34  854.54  851.29  850.78
   3.00  903.18  894.77  892.70  887.39  886.14  878.05  874.61  872.52  870.46  869.83  869.69  866.00  864.40  862.98  862.07  861.98  861.44  859.95  859.44  857.63  854.63  854.08
   3.00  915.12  907.67  906.14  901.48  900.36  893.28  890.44  888.67  886.82  886.42  886.24  882.91  881.65  880.37  879.49  879.43  879.10  877.76  877.30  875.73  873.23  872.80
   3.00  934.93  925.51  923.51  917.55  916.13  907.16  903.52  901.27  898.85  898.37  898.08  893.95  892.18  890.55  889.60  889.39  888.94  887.28  886.48  884.60  881.22  880.71
   3.00  935.34  925.97  924.02  918.01  916.71  907.66  904.03  901.82  899.44  898.92  898.62  894.48  892.72  891.20  890.23  889.84  889.47  887.89  886.97  885.02  881.81  881.16
   1.00  938.42  930.28  928.65  923.22  922.00  913.86  910.75  908.57  906.56  906.24  905.86  902.22  900.55  899.05  898.03  898.15  897.60  896.15  895.43  893.90  890.64  890.47
   2.00  941.76  934.53  932.51  927.87  926.72  919.64  916.41  914.44  912.42  912.17  912.15  908.64  907.28  905.94  904.98  905.41  904.44  903.23  902.99  901.46  898.48  898.32
   3.00  948.09  939.42  937.68  932.20  930.90  922.52  919.26  917.12  914.89  914.53  914.25  910.31  908.82  907.33  906.39  906.12  905.71  904.27  903.58  901.85  898.76  898.23
   1.00  958.29  948.25  948.05  943.05  941.25  933.05  931.22  930.79  928.06  928.04  926.76  924.09  922.92  922.13  922.07  918.41  920.40  919.37  916.76  915.13  913.80  911.61
   2.00  970.02  961.00  959.05  953.38  952.05  943.51  940.05  938.15  935.81  935.36  935.05  931.00  929.44  927.94  927.02  926.72  926.44  924.88  924.03  922.24  919.17  918.54
   2.00  974.80  965.42  963.44  957.42  956.21  947.18  943.44  941.25  938.96  938.38  938.12  934.04  932.18  930.78  929.89  929.39  929.08  927.52  926.53  924.56  921.50  920.72
   3.00  990.88  981.81  979.90  973.93  972.67  963.73  960.16  957.78  955.51  955.06  954.75  950.78  948.94  947.39  946.36  946.25  945.72  944.14  943.33  941.49  938.16  937.72
   3.00 1007.27  997.99  995.90  990.00  988.72  979.81  976.04  973.86  971.54  971.00  970.80  966.61  964.80  963.36  962.43  962.16  961.70  960.12  959.26  957.35  954.17  953.54
   3.00 1007.32  998.62  996.77  991.23  989.88  981.54  978.17  975.99  973.84  973.33  973.11  969.23  967.57  966.16  965.19  965.06  964.56  963.11  962.38  960.68  957.47  957.02
   1.00 1063.91 1055.06 1052.95 1047.36 1046.12 1037.64 1034.09 1032.02 1029.86 1029.23 1029.03 1025.22 1023.40 1022.00 1021.16 1020.93 1020.54 1018.97 1018.23 1016.42 1013.27 1012.65
   1.00 1084.60 1075.83 1074.54 1068.20 1067.19 1057.92 1054.76 1052.49 1050.15 1050.21 1049.53 1045.88 1043.83 1042.58 1041.22 1041.27 1040.87 1039.51 1038.22 1036.49 1033.29 1032.76
   3.00 1103.88 1095.35 1093.82 1088.00 1086.95 1078.36 1075.17 1072.86 1070.86 1070.41 1069.93 1066.64 1064.71 1063.33 1062.44 1062.07 1061.79 1060.35 1059.37 1057.74 1054.49 1054.03
